station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Oak Street Weather Station,2016-12-20 08:00:00,29,Safe,8,20,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-20 07:00:00,6,Safe,7,20,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-20 04:00:00,0,Safe,4,20,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-20 02:00:00,3,Safe,2,20,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-20 01:00:00,0,Safe,1,20,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-19 21:00:00,3,Safe,21,19,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-19 17:00:00,4,Safe,17,19,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-19 12:00:00,423,Slightly dangerous,12,19,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-19 08:00:00,25,Safe,8,19,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-19 07:00:00,5,Safe,7,19,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-19 04:00:00,0,Safe,4,19,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-19 03:00:00,8,Safe,3,19,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-18 23:00:00,5,Safe,23,18,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-18 20:00:00,8,Safe,20,18,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-18 20:00:00,0,Safe,20,18,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-18 17:00:00,4,Safe,17,18,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-18 15:00:00,196,Safe,15,18,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-18 14:00:00,0,Safe,14,18,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-18 11:00:00,404,Slightly dangerous,11,18,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-18 07:00:00,4,Safe,7,18,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-17 22:00:00,3,Safe,22,17,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-17 20:00:00,3,Safe,20,17,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-17 18:00:00,3,Safe,18,17,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-17 17:00:00,5,Safe,17,17,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-17 16:00:00,0,Safe,16,17,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-17 15:00:00,34,Safe,15,17,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-17 15:00:00,0,Safe,15,17,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-17 12:00:00,38,Safe,12,17,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-17 11:00:00,42,Safe,11,17,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-17 10:00:00,52,Safe,10,17,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-17 09:00:00,30,Safe,9,17,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-17 09:00:00,42,Safe,9,17,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-17 08:00:00,26,Safe,8,17,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-17 08:00:00,0,Safe,8,17,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-17 01:00:00,3,Safe,1,17,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-16 22:00:00,5,Safe,22,16,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-16 21:00:00,0,Safe,21,16,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-16 17:00:00,5,Safe,17,16,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-16 16:00:00,5,Safe,16,16,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-16 15:00:00,21,Safe,15,16,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-16 14:00:00,0,Safe,14,16,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-16 13:00:00,70,Safe,13,16,12,2016,41.780992,-87.572619
